time,momentum,Ekin,Epot,Etotal
93,-9.32587e-15,0.0672668,0.000143767,0.0674105
93.5,-8.82627e-15,0.0670489,9.21104e-05,0.067141
94,-9.71445e-15,0.0672006,6.8129e-05,0.0672688
94.5,-1.02696e-14,0.0675136,0.000123843,0.0676374
95,-1.2268e-14,0.0676603,0.000120028,0.0677803
95.5,-1.41553e-14,0.0676287,0.000113488,0.0677422
96,-1.42664e-14,0.0675531,0.000125479,0.0676785
96.5,-1.16573e-14,0.0674502,0.000118878,0.0675691
97,-1.18794e-14,0.067615,0.000115971,0.067731
97.5,-1.01863e-14,0.0677329,0.000167809,0.0679007
98,-1.34615e-14,0.067605,0.000171201,0.0677762
98.5,-1.33227e-14,0.0675979,0.000135895,0.0677338
99,-1.2379e-14,0.067625,0.000143162,0.0677681
99.5,-9.27036e-15,0.06789,0.000155274,0.0680453
